id,sucursal_id,saldo_total_sucursal,caja_teorica_sucursal,total_atm,total_ats,total_tesoro,total_cajas_ventanilla,total_buzon_depositos,total_recaudacion,total_caja_chica,total_otros,direccion_sucursal,latitud,longitud,observacion,medido_en,sucursal_numero,sucursal_nombre,telefonos,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
52,SUC-425,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PASEO COLON 505,-34.61382116315,-58.369563933362,,2025-09-21 21:21:08.237651+00,118,San Telmo,4343-8379/4343-8382/4345-5924/4345-5925/4345-5927,PASEO COLON,505,Monserrat,1,1063,C1063ACF
53,SUC-416,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PELLEGRINI CARLOS 1413,-34.591429946943,-58.381480430688,,2025-09-21 21:21:08.237651+00,51,Recoleta,4393-0449/4393-0450/4393-0054,PELLEGRINI CARLOS,1413,Retiro,1,1011,C1011AAC
54,SUC-383,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PERON EVA 4941,-34.657922697138,-58.479052364453,,2025-09-21 21:21:08.237651+00,187,Mataderos,4635-4733/4635-4735/4635-4762/4635-4763,PERON EVA,4941,Mataderos,9,1439,C1439BSA
55,SUC-395,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PERON JUAN DOMINGO TTE GENERAL 588,-34.605742273605,-58.374861899371,,2025-09-21 21:21:08.237651+00,342,Microcentro,4342-5137/4342-5147/4342-5148/4342-5174/4342-5204,PERON JUAN DOMINGO TTE GENERAL,588,San Nicolas,1,1038,C1038AAL
56,SUC-420,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PUEYRREDON AV 1001,-34.598324726336,-58.403581513572,,2025-09-21 21:21:08.237651+00,327,Recoleta,4961-34.85/4961-9026/4961-4914/4962-4917,PUEYRREDON AV,1001,Recoleta,2,1118,""
57,SUC-397,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RECONQUISTA 40,-34.607081144876,-58.372264556059,,2025-09-21 21:21:08.237651+00,999,Microcentro,4348-0000,RECONQUISTA,40,San Nicolas,1,1003,C1003ABB
58,SUC-387,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RECONQUISTA 199,-34.605742487818,-58.37227727922,,2025-09-21 21:21:08.237651+00,99,Microcentro,4346-4422,RECONQUISTA,199,San Nicolas,1,1003,C1003ABC
59,SUC-382,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RIVADAVIA 11190,-34.638978894884,-58.522244136073,,2025-09-21 21:21:08.237651+00,318,Liniers,4642-0219/4641-6831/4641-9537/4641-0739,RIVADAVIA,11190,Liniers,9,1408,C1408AAY
60,SUC-376,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RIVADAVIA 6483,-34.626963436048,-58.45764223678,,2025-09-21 21:21:08.237651+00,126,Flores,4631- 0113/4631-4690/4631-4851/4631-0519,RIVADAVIA,6483,Flores,7,1406,C1406GLH
61,SUC-370,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RIVADAVIA 5300,-34.620024314311,-58.440140943746,,2025-09-21 21:21:08.237651+00,124,Caballito,4901-6578/4902-5528/4903-8447,RIVADAVIA,5300,Caballito,6,1424,C1424CEU
62,SUC-362,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RIVADAVIA 2577,-34.60987630808,-58.402978450648,,2025-09-21 21:21:08.237651+00,301,Balvanera,4951-9035/4951- 9438/4952-6460/4953-5506,RIVADAVIA,2577,Balvanera,3,1034,C1034ACE
63,SUC-359,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RIVADAVIA 4059,-34.612297256065,-58.423100154989,,2025-09-21 21:21:08.237651+00,117,Almagro,4958- 6293/4958-6307/4981-0996 /4981- 5919,RIVADAVIA,4059,Almagro,5,1205,C1205AAA
64,SUC-411,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RONDEAU 3002,-34.636025458182,-58.405985535203,,2025-09-21 21:21:08.237651+00,12,Parque Patricios,4943-4429/4943-4741/4943-4802/4308-3012/4308-2011,RONDEAU,3002,Parque Patricios,4,1262,C1262ABP
65,SUC-401,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAENZ AV 1146,-34.653771228373,-58.416192298448,,2025-09-21 21:21:08.237651+00,10,Nueva Pompeya,4911-6306/4911-0010/4911-2134/4912-0079,SAENZ AV,1146,Nueva Pompeya,4,1437,C1437DOQ
66,SUC-424,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAN JUAN 2654,-34.623794750517,-58.401605141596,,2025-09-21 21:21:08.237651+00,308,San Cristobal,4941-4281/4941-4631/4942-4428/4942-6647,SAN JUAN,2654,San Cristobal,3,1232,C1232AAV
